launch_speed,launch_angle,home_team,woba_value
96,26.3,ARI,0
75.7,-43,ARI,0.9
79.2,51,ARI,0
103.6,9,ARI,0.9
80,69,ARI,0
98.2,31,ARI,2
88.1,-11.5,ARI,0.9
24.7,-19,ARI,0
88.2,9,ARI,0.9
103.7,15.3,ARI,1.25
85.2,53,ARI,0
87.4,11,ARI,1.25
75.9,11,ARI,0.9
87.4,35.2,ARI,0
82.9,-20.7,ARI,0
92.7,15,ARI,0.9
98.4,16,ARI,0
64.1,0,ARI,0
64.7,62,ARI,0
80,69,ARI,0
74.2,49.2,ARI,0.9
100.4,7,ARI,0
92,18,ARI,0
81.4,-11,ARI,0
65.1,-80.4,ARI,0
12.8,-84,ARI,0
102.4,21.6,ARI,1.25
89.3,15,ARI,1.25
91.9,-19.2,ARI,0
86,15.3,ARI,0.9
57.1,-16,ARI,0.9
76.3,4.6,ARI,0
79,-25,ARI,0
96.8,46.7,ARI,0
84.1,-1,ARI,0
90.4,-23,ARI,0
57.7,-65,ARI,0
101.1,-6,ARI,0
89.7,-24,ARI,0
100.8,24,ARI,1.6
80,69,ARI,0
86,28.3,ARI,0
81.1,22,ARI,1.25
84,54,ARI,0
103.3,32,ARI,2
83.7,-24.6,ARI,0
92.5,40,ARI,0
89.1,42.6,ARI,0
97.4,62,ARI,0
49.3,-53,ARI,0
89.8,4,ARI,0
109.5,15,ARI,0
79,24,ARI,0.9
102.3,29,ARI,2
52,-61,ARI,0
99.6,35.7,ARI,0
74.9,-11,ARI,0
107.1,-22,ARI,0.9
80.7,-43,ARI,0
79.4,17.7,ARI,0.9
87.9,46,ARI,0
57.9,-44,ARI,0
67.6,11.8,ARI,0
101,7,ARI,0
81,31.9,ARI,0
103.6,-2,ARI,0
79.9,34,ARI,0
94.7,0,ARI,0.9
99.2,35.4,ARI,2
90.9,-2,ARI,0
73,8.7,ARI,0
90.8,24,ARI,0
81.1,14,ARI,0.9
56.8,26,ARI,0
92.3,-26,ARI,0
80.7,-34.3,ARI,0.9
92.8,27,ARI,0
78.2,0.3,ARI,0.9
90.7,-3,ARI,0
101.1,-3,ARI,0
88.9,13,ARI,0.9
82.6,-12,ARI,0.9
75.3,29.9,ARI,1.6
77,-18,ARI,0
48.1,1.9,ARI,0
82.9,-20.7,ARI,0
64.7,37,ARI,1.25
87.8,-5.2,ARI,0
102.1,3,ARI,0.9
80,69,ARI,0
102.2,15.8,ARI,0.9
66.6,21.3,ARI,1.25
97.4,29.6,ARI,2
98,1,ARI,1.25
105.5,26,ARI,2
76.5,9.4,ARI,0.9
64,-35.3,ARI,0
98.2,14,ARI,0.9
86.2,62,ARI,0
103.7,31.4,ARI,0
90.3,-17.3,ARI,0.9
94.3,27,ARI,0
103.3,29,ARI,2
66.2,-20,ARI,0
87.3,15,ARI,0.9
94.4,2,ARI,0
82.9,-33.7,ARI,0
81.6,7,ARI,0
80,69,ARI,0
80,69,ARI,0
80.1,67,ARI,0
87.5,81.1,ARI,0
96,-1.9,ARI,0
102.6,26,ARI,2
75.8,-8.6,ARI,0
68.9,-20,ARI,0
67.7,-53.4,ARI,0
80,69,ARI,0
92.1,11.3,ARI,1.25
98.6,34,ARI,0
86.9,19,ARI,1.25
77,31.5,ARI,0
73.2,55,ARI,0
68.5,8,ARI,0
85.2,-12,ARI,0
91.2,-24.2,ARI,0
92.5,-4,ARI,0
81.4,-13,ARI,0
61.2,-19,ARI,0
97.5,51,ARI,0
71.5,-8,ARI,0
104.7,11,ARI,0.9
93.6,43.7,ARI,0
103.6,20,ARI,1.25
86.1,22.6,ARI,0
65.8,-32,ARI,0
106.6,29.1,ARI,2
88.6,33.9,ARI,0
104.7,42.8,ARI,2
97.5,13,ARI,1.25
104.6,19,ARI,1.25
94,20,ARI,1.6
54.3,-40,ARI,0.9
104.4,-1,ARI,0
107.7,11,ARI,0.9
104.2,4,ARI,0
55.1,25.8,ARI,0.9
86.7,4,ARI,1.25
91.3,57.9,ARI,0
70.8,67,ARI,0
82.9,-20.7,ARI,0
84,-20,ARI,0
96.9,23.6,ARI,1.25
96,17,ARI,0
59.2,-30,ARI,0
105,30.9,ARI,2
94.2,24,ARI,0
72.3,-12.7,ARI,0
94,-18,ARI,0
77.8,36,ARI,0
106.3,10,ARI,1.25
96.3,12.3,ARI,0.9
69.9,-51,ARI,0.9
68.5,21.3,ARI,0.9
95.9,-24.7,ARI,0
84.5,46.3,ARI,0
101.7,16,ARI,0.9
81.5,34,ARI,0
112.2,5.5,ARI,0.9
91.3,56.1,ARI,0
101.2,35.1,ARI,2
76.4,-8.5,ARI,0
103.2,26,ARI,2
101.1,39,ARI,0
67,30,ARI,0.9
81.8,31.8,ARI,0
88.6,-8.4,ARI,0
98.3,6,ARI,0
88.5,41,ARI,0
81.7,72,ARI,0
103.3,-2.4,ARI,0
101.6,22.5,ARI,1.25
93.7,32.3,ARI,0
44.1,-64,ARI,0
108.2,11.1,ARI,0.9
68.7,-12,ARI,0
81,42.9,ARI,0
80.9,8.7,ARI,0
61,-6,ARI,0
92.2,25,ARI,0
